Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
04689778,01276545,10865114,09056450,03713667,,,03553864,,02437438,12905144,03962261,09234557,06672467,08348510,04683984,,06920954,09239591,06228090
06341504,11994044,06228090,05122865,11678014,,,08578132,,11546932,00237293,04193251,03553864,SC070496,07433422,05898794,,09599024,06938807,07337344
09331230,01333906,07337344,08677556,06621854,,,03965152,,10810248,04545791,04026531,08578132,08782758,03881576,05893596,,05911740,07649238,06810614
11789938,01342411,01330646,07136205,03380944,,,11458524,,01312434,12818062,03714233,03965152,07777883,02538905,06192793,,08588888,09034747,11206817
11458524,01877012,SC108528,08148659,10904674,,,04014690,,05493633,09881288,04396848,11458524,09706536,12003239,06925697,,07159152,11692418,SC108528
11210639,02386239,01930321,06052732,05669656,,,SC587624,,05484766,03402844,04436021,04014690,10410770,07812559,07129740,,10413560,05633846,01930321
09336837,01632099,07326529,06803614,09239591,,,09616314,,01348877,02913195,04749385,SC587624,11157688,,07366723,,08612183,08304374,07326529
12400618,02946840,04813512,09643142,09034747,,,11210639,,06074488,NI650965,04918005,09616314,09291810,,09481978,,04238843,09142430,04813512
10225928,03026636,SC394938,SC412503,09391745,,,SC445894,,05534540,12992648,05306425,11210639,07512234,,09807227,,06818928,08844002,08743627
12274061,04048450,10634415,05631335,10836839,,,04906700,,00939789,10375800,05694248,SC445894,08617932,,11024548,,05066363,04152051,10534115
09576394,03967698,10534115,12393467,09120861,,,09737449,,10607455,12594072,06396681,04906700,10983433,,10220888,,08427781,10836839,09723338
06212915,03811440,09723338,06836122,10983433,,,12789435,,01548414,10807317,06435165,09737449,08677556,,12579117,,10456621,11881596,07399286
08659637,04625880,07399286,03211482,08474469,,,04457732,,05119181,05669656,06077954,12789435,03309338,,SC009731,,08162666,06299727,06931341
10020954,04601624,06931341,09957564,07472762,,,11643725,,02685331,10983947,06964423,04457732,04445603,,SC415244,,01555323,03538827,05616891
08822385,05087226,05616891,07461408,11117872,,,08588888,,10732693,06672467,07158830,11643725,09643142,,08348510,,09678622,SC151520,11911532
09586584,05760284,10000641,02925827,01451217,,,09576394,,00447952,SC070496,07109106,08588888,06378290,,04663375,,11487863,06534035,02660909
03982767,05571908,11911532,04807554,07136205,,,13122580,,00416089,09347757,06645891,09576394,06149308,,07726951,,04573385,14129210,07720934
10456621,05848604,08299940,02812527,08069003,,,04316512,,01252395,08782758,07587198,13122580,09149331,,03881576,,10156839,09391998,02752887
04410612,06077954,02660909,08603189,04176469,,,05066363,,00971894,09706536,07197804,04316512,11543075,,02538905,,10627257,10283438,07830600
08617387,06763736,02692839,05386932,06951721,,,SC675262,,01189115,10410770,07290068,05066363,04736768,,07812559,,06854970,11117872,06805183
07283756,08201481,08677926,10617977,03725344,,,04573385,,00316979,11157688,09185187,SC675262,05137542,,,,06676382,05735308,06576407
08720723,07215629,06713991,05123175,11473704,,,10156839,,01101649,09291810,08723865,04573385,10622264,,,,08244070,08069003,06477712
05266207,07870190,07720934,11708455,09643142,,,03488384,,01525895,08121941,11025360,10156839,08673761,,,,01255640,03309338,09794421
06764985,07928622,03385123,04535102,06312244,,,12091617,,02383452,10983433,10378257,03488384,07061575,,,,10816461,06499586,03662079
11007348,09432767,02752887,04200804,05644604,,,03113241,,01662295,08677556,10528519,12091617,05028538,,,,10652129,06951721,06438836
11879680,08257790,07830600,09907013,08220210,,,06676382,,02571602,04918542,SC076351,03113241,09061270,,,,05133699,09430294,02516125
08677425,10867783,01951401,07513842,04960504,,,12400561,,02453601,01451217,12066149,06676382,04344068,,,,05273104,07106145,10513872
09937141,10955739,06805183,08617659,08334024,,,01261412,,02231437,05735308,13214888,12400561,09444124,,,,07171714,06016684,09882097
02686716,10953910,06576407,13451000,02535318,,,07005883,,02213734,03309338,SC208098,01261412,11780524,,,,07148857,07364302,10681180
11989176,12686532,01105821,04657120,07457931,,,04905427,,01991838,11329846,SC105902,07005883,05123175,,,,11440924,05088256,11447778
07173069,11798006,06477712,04411844,05631335,,,01255640,,02253161,07055859,SC407490,04905427,09712483,,,,04054805,09643142,11192557
SC596606,12185457,09794421,05083534,12261367,,,10245373,,01969077,04445603,03151774,01255640,02685392,,,,SC245803,04960504,08533299
09051461,12020479,03662079,03212874,07546881,,,09937141,,02184127,07364302,07582668,10245373,04731667,,,,09273553,09996798,07782570
11759232,12113395,06438836,06480668,06976666,,,11989176,,02303591,06378290,03805733,09937141,07437573,,,,10325420,07938272,07972299
02586361,13099990,02516125,00838020,04656812,,,10253758,,02821689,09149331,SC358289,11989176,13451000,,,,05451329,09964427,07519421
11105797,SC158183,10513872,13235262,08020637,,,07825365,,02643516,07657320,03028064,10253758,09549192,,,,04022713,SC412503,10590691
10015779,SC415244,08810297,07051076,04333775,,,09646624,,02620287,05631335,SC425209,07825365,10630853,,,,SC261031,05631335,06140955
07148857,10225502,01595510,03863287,12039699,,,10544937,,02591791,11543075,SC401207,09646624,06400427,,,,11109688,09264136,10006462
SC401887,08348510,04470718,05573091,09104535,,,11807156,,03111707,04656812,NI065035,10544937,09724585,,,,07729602,12484009,10717076
09512041,08792230,09882097,09241537,10301281,,,06344510,,02912741,04266636,,11807156,11275678,,,,02981527,SC442208,00693552
